Temp,"HSN(Si,Ti)@moti5si3","HSN(Ti,Ti)@moti5si3","HSN(Si,Si)@moti5si3"
739,82587.7,301249,7.70664e+07
738,82585.3,301239,7.80278e+07
737,82582.8,301229,7.90149e+07
736,82580.3,301219,8.0029e+07
735,82577.8,301209,8.10714e+07
734,82575.8,301199,8.21439e+07
733,82572.7,301189,8.32481e+07
732,82570.1,301180,8.43859e+07
731,82567.5,301170,8.55594e+07
730,82564.9,301160,8.67708e+07
729,82562.2,301151,8.80227e+07
728,82559.5,301141,8.93179e+07
727,82556.8,301132,9.06594e+07
726,82554.1,301122,9.20508e+07
725,82551.3,301113,9.34958e+07
724,82549.2,301104,9.4999e+07
723,82546.5,301095,9.65652e+07
722,82543.1,301086,9.82002e+07
721,82540.3,301076,9.99105e+07
720,82536.3,301067,1.01704e+08
719,82533.2,301058,1.03588e+08
718,82531.4,301050,1.05575e+08
717,82528.7,301041,1.07676e+08
716,82526.4,301032,1.09905e+08
715,82520.6,301023,1.12281e+08
714,82519.9,301015,1.14826e+08
713,82514.3,301006,1.17567e+08
712,82513.2,300998,1.20539e+08
711,82510.1,300989,1.23787e+08
710,82507,300981,1.27373e+08
709,82503.9,300972,1.3138e+08
708,82500.7,300964,1.3593e+08
707,82497.5,300956,1.41205e+08
706,82494.3,300948,1.475e+08
705,82491,300940,1.55342e+08
704,82487.8,300932,1.65818e+08
