Temp,"HSN(Si,Ti)@bcc","HSN(Ti,Ti)@bcc","HSN(Si,Si)@bcc"
509,1.11982e+06,1.30053e+06,1.29919e+06
508,1.13006e+06,1.31083e+06,1.30944e+06
507,1.14044e+06,1.32125e+06,1.31982e+06
506,1.15094e+06,1.33181e+06,1.33034e+06
505,1.16158e+06,1.3425e+06,1.34098e+06
504,1.17235e+06,1.35332e+06,1.35177e+06
503,1.18326e+06,1.36428e+06,1.36269e+06
502,1.19432e+06,1.37539e+06,1.37375e+06
501,1.20551e+06,1.38663e+06,1.38496e+06
500,1.21685e+06,1.39802e+06,1.39631e+06
499,1.22834e+06,1.40956e+06,1.4078e+06
498,1.23997e+06,1.42125e+06,1.41945e+06
497,1.25176e+06,1.43309e+06,1.43125e+06
496,1.26371e+06,1.44508e+06,1.44321e+06
495,1.27581e+06,1.45723e+06,1.45532e+06
494,1.28807e+06,1.46955e+06,1.46759e+06
493,1.30049e+06,1.48202e+06,1.48003e+06
492,1.31309e+06,1.49466e+06,1.49263e+06
491,1.32584e+06,1.50747e+06,1.50539e+06
490,1.33877e+06,1.52045e+06,1.51834e+06
489,1.35188e+06,1.5336e+06,1.53145e+06
488,1.36516e+06,1.54694e+06,1.54474e+06
487,1.37862e+06,1.56045e+06,1.55821e+06
486,1.39226e+06,1.57414e+06,1.57187e+06
485,1.4061e+06,1.58802e+06,1.58571e+06
484,1.42012e+06,1.6021e+06,1.59975e+06
483,1.43433e+06,1.61636e+06,1.61397e+06
482,1.44874e+06,1.63082e+06,1.62839e+06
481,1.46335e+06,1.64548e+06,1.64302e+06
480,1.47817e+06,1.66035e+06,1.65784e+06
479,1.49319e+06,1.67542e+06,1.67287e+06
478,1.50842e+06,1.6907e+06,1.68812e+06
477,1.52387e+06,1.7062e+06,1.70358e+06
476,1.53954e+06,1.72192e+06,1.71926e+06
475,1.55543e+06,1.73786e+06,1.73516e+06
474,1.57154e+06,1.75402e+06,1.75128e+06
473,1.58789e+06,1.77042e+06,1.76764e+06
472,1.60447e+06,1.78705e+06,1.78423e+06
471,1.62129e+06,1.80392e+06,1.80106e+06
