HSN[Mo,Co] 3946.45
HSN[Mo,Nb] 154895
HSN[Mo,Mo] 752864

Determinant of Hessian Matrix of G:
|HSN| 6.81973e+52

Phase Name = Fcc
Hessian Matrix of G:
HSN[Al,Al] 2.36288e+06
HSN[Al,Si] 384250
HSN[Al,Ti] 247793
HSN[Al,Cr] 152591
HSN[Al,Mn] 153756
HSN[Al,Fe] 116254
HSN[Al,Co] 55708.9
HSN[Al,Nb] 223671
HSN[Al,Mo] 164107
         HSN[Si,Al] 384250
HSN[Si,Si] 3.26279e+06
HSN[Si,Ti] 420243
HSN[Si,Cr] 162576
HSN[Si,Mn] 208271
HSN[Si,Fe] 149274
HSN[Si,Co] 47017.5
HSN[Si,Nb] 381299
HSN[Si,Mo] 269145
         HSN[Ti,Al] 247793
HSN[Ti,Si] 420243
HSN[Ti,Ti] 3.95419e+06
HSN[Ti,Cr] 215683
HSN[Ti,Mn] 205376
HSN[Ti,Fe] 136464
HSN[Ti,Co] 58809.6
HSN[Ti,Nb] 293553
HSN[Ti,Mo] 185603
         HSN[Cr,Al] 152591
HSN[Cr,Si] 162576
HSN[Cr,Ti] 215683
HSN[Cr,Cr] 115530
HSN[Cr,Mn] 74300.9
HSN[Cr,Fe] 43621.4
HSN[Cr,Co] 14261.5
HSN[Cr,Nb] 170356
HSN[Cr,Mo] 34919.9
         HSN[Mn,Al] 153756
HSN[Mn,Si] 208271
HSN[Mn,Ti] 205376
HSN[Mn,Cr] 74300.9
HSN[Mn,Mn] 5.78856e+06
HSN[Mn,Fe] 55075.9
HSN[Mn,Co] 31382.5
HSN[Mn,Nb] 194023
HSN[Mn,Mo] 41898.2
         HSN[Fe,Al] 116254
HSN[Fe,Si] 149274
HSN[Fe,Ti] 136464
HSN[Fe,Cr] 43621.4
HSN[Fe,Mn] 55075.9
HSN[Fe,Fe] 110974
HSN[Fe,Co] 26078.8
HSN[Fe,Nb] 115741
HSN[Fe,Mo] 57494.3
         HSN[Co,Al] 55708.9
HSN[Co,Si] 47017.5
HSN[Co,Ti] 58809.6
HSN[Co,Cr] 14261.5
HSN[Co,Mn] 31382.5
HSN[Co,Fe] 26078.8
HSN[Co,Co] 1.24681e+06
HSN[Co,Nb] 123488
HSN[Co,Mo] 14667.1
         HSN[Nb,Al] 223671
HSN[Nb,Si] 381299
HSN[Nb,Ti] 293553
HSN[Nb,Cr] 170356
HSN[Nb,Mn] 194023
HSN[Nb,Fe] 115741
HSN[Nb,Co] 123488
HSN[Nb,Nb] 1.50868e+06
HSN[Nb,Mo] 157825
         HSN[Mo,Al] 164107
HSN[Mo,Si] 269145
HSN[Mo,Ti] 185603
HSN[Mo,Cr] 34919.9
HSN[Mo,Mn] 41898.2
HSN[Mo,Fe] 57494.3
HSN[Mo,Co] 14667.1
HSN[Mo,Nb] 157825
HSN[Mo,Mo] 625481

Determinant of Hessian Matrix of G:
|HSN| 1.18947e+54

############## Point 3#############
Temperature 1628
Phase Name = Liquid
Hessian Matrix of G:
HSN[Al,Al] 1.45841e+06
HSN[Al,Si] 381550
HSN[Al,Ti] 251953
HSN[Al,Cr] 133128
HSN[Al,Mn] 155929
HSN[Al,Fe] 92481.1
HSN[Al,Co] 67248.2
HSN[Al,Nb] 231341
HSN[Al,Mo] 109976
         HSN[Si,Al] 381550
HSN[Si,Si] 2.34962e+06
HSN[Si,Ti] 210010
HSN[Si,Cr] 167851
HSN[Si,Mn] 168216
HSN[Si,Fe] 135713
HSN[Si,Co] 77878.7
HSN[Si,Nb] 195431
HSN[Si,Mo] 111762
         HSN[Ti,Al] 251953
HSN[Ti,Si] 210010
HSN[Ti,Ti] 1.58266e+06
HSN[Ti,Cr] 183098
HSN[Ti,Mn] 212336
HSN[Ti,Fe] 129355
HSN[Ti,Co] 65195.1
HSN[Ti,Nb] 332198
HSN[Ti,Mo] 165394
         HSN[Cr,Al] 133128
HSN[Cr,Si] 167851
HSN[Cr,Ti] 183098
HSN[Cr,Cr] 115303
HSN[Cr,Mn] 80035.6
HSN[Cr,Fe] 42668.2
HSN[Cr,Co] 10113.9
HSN[Cr,Nb] 165425
HSN[Cr,Mo] 52850.2
         HSN[Mn,Al] 155929
HSN[Mn,Si] 168216
HSN[Mn,Ti] 212336
HSN[Mn,Cr] 80035.6
HSN[Mn,Mn] 3.69259e+06
HSN[Mn,Fe] 63226.5
HSN[Mn,Co] 36108
HSN[Mn,Nb] 187774
HSN[Mn,Mo] 57979.9
         HSN[Fe,Al] 92481.1
HSN[Fe,Si] 135713
HSN[Fe,Ti] 129355
HSN[Fe,Cr] 42668.2
HSN[Fe,Mn] 63226.5
HSN[Fe,Fe] 112886
HSN[Fe,Co] 23789.2
HSN[Fe,Nb] 95204
HSN[Fe,Mo] 43676.3
         HSN[Co,Al] 67248.2
HSN[Co,Si] 77878.7
HSN[Co,Ti] 65195.1
HSN[Co,Cr] 10113.9
HSN[Co,Mn] 36108
HSN[Co,Fe] 23789.2
HSN[Co,Co] 1.42062e+06
HSN[Co,Nb] 109074
HSN[Co,Mo] 3897.65
         HSN[Nb,Al] 231341
HSN[Nb,Si] 195431
HSN[Nb,Ti] 332198
HSN[Nb,Cr] 165425
HSN[Nb,Mn] 187774
HSN[Nb,Fe] 95204
HSN[Nb,Co] 109074
HSN[Nb,Nb] 753572
HSN[Nb,Mo] 154887
         HSN[Mo,Al] 109976
HSN[Mo,Si] 111762
HSN[Mo,Ti] 165394
HSN[Mo,Cr] 52850.2
HSN[Mo,Mn] 57979.9
HSN[Mo,Fe] 43676.3
HSN[Mo,Co] 3897.65
HSN[Mo,Nb] 154887
HSN[Mo,Mo] 755402

Determinant of Hessian Matrix of G:
|HSN| 6.53361e+52

Phase Name = Fcc
Hessian Matrix of G:
HSN[Al,Al] 2.33876e+06
HSN[Al,Si] 384289
HSN[Al,Ti] 247761
HSN[Al,Cr] 152565
HSN[Al,Mn] 153750
HSN[Al,Fe] 116277
HSN[Al,Co] 55733.1
HSN[Al,Nb] 223639
HSN[Al,Mo] 164111
         HSN[Si,Al] 384289
HSN[Si,Si] 3.25508e+06
HSN[Si,Ti] 420227
HSN[Si,Cr] 162551
HSN[Si,Mn] 208262
HSN[Si,Fe] 149275
HSN[Si,Co] 46981.8
HSN[Si,Nb] 381263
HSN[Si,Mo] 269126
         HSN[Ti,Al] 247761
HSN[Ti,Si] 420227
