Temp,Mo@liq,Si@liq,Ti@liq,Mo@motisi,Si@moti5si3,Ti@moti5si3
354,0.455091,1.37752e-06,0.544908,0.157107,0.375,0.467893
353,0.455521,1.32273e-06,0.544477,0.157159,0.375,0.467841
352,0.455952,1.26983e-06,0.544046,0.157211,0.375,0.467789
351,0.456384,1.21876e-06,0.543615,0.157262,0.375,0.467738
350,0.456816,1.16948e-06,0.543182,0.157314,0.375,0.467687
349,0.457249,1.12192e-06,0.542749,0.157365,0.375,0.467635
348,0.457683,1.07604e-06,0.542316,0.157416,0.375,0.467584
347,0.458117,1.03179e-06,0.541882,0.157468,0.375,0.467532
346,0.458552,9.89119e-07,0.541447,0.157519,0.375,0.467481
345,0.458988,9.47982e-07,0.541011,0.15757,0.375,0.46743
344,0.459424,9.08334e-07,0.540575,0.157622,0.375,0.467378
343,0.459861,8.70128e-07,0.540138,0.157673,0.375,0.467327
342,0.460298,8.3332e-07,0.539701,0.157724,0.375,0.467276
341,0.460736,7.97869e-07,0.539263,0.157775,0.375,0.467225
340,0.461175,7.63731e-07,0.538824,0.157827,0.375,0.467173
339,0.461614,7.30866e-07,0.538385,0.157878,0.375,0.467122
338,0.462054,6.99234e-07,0.537945,0.157929,0.375,0.467071
337,0.462495,6.68797e-07,0.537504,0.15798,0.375,0.46702
336,0.462936,6.39516e-07,0.537063,0.158031,0.375,0.466969
335,0.463378,6.11354e-07,0.536621,0.158082,0.375,0.466918
334,0.463821,5.84276e-07,0.536179,0.158133,0.375,0.466867
333,0.464264,5.58246e-07,0.535735,0.158184,0.375,0.466816
332,0.464708,5.3323e-07,0.535292,0.158235,0.375,0.466765
331,0.465152,5.09195e-07,0.534847,0.158286,0.375,0.466714
330,0.465598,4.86108e-07,0.534402,0.158336,0.375,0.466664
329,0.466043,4.63937e-07,0.533956,0.158387,0.375,0.466613
328,0.46649,4.42653e-07,0.53351,0.158438,0.375,0.466562
327,0.466937,4.22224e-07,0.533063,0.158489,0.375,0.466511
326,0.467385,4.02622e-07,0.532615,0.158539,0.375,0.466461
325,0.467833,3.83818e-07,0.532166,0.15859,0.375,0.46641
324,0.468282,3.65785e-07,0.531717,0.158641,0.375,0.466359
323,0.468732,3.48496e-07,0.531268,0.158691,0.375,0.466309
322,0.469183,3.31925e-07,0.530817,0.158742,0.375,0.466258
321,0.469634,3.16046e-07,0.530366,0.158792,0.375,0.466208
320,0.470085,3.00835e-07,0.529914,0.158843,0.375,0.466157
319,0.470538,2.86269e-07,0.529462,0.158893,0.375,0.466107
318,0.470991,2.72323e-07,0.529009,0.158944,0.375,0.466056
317,0.471444,2.58975e-07,0.528555,0.158994,0.375,0.466006
316,0.471899,2.46204e-07,0.528101,0.159045,0.375,0.465955
315,0.472354,2.33987e-07,0.527646,0.159095,0.375,0.465905
314,0.47281,2.22306e-07,0.52719,0.159145,0.375,0.465855
313,0.473266,2.11138e-07,0.526734,0.159196,0.375,0.465804
312,0.473723,2.00466e-07,0.526277,0.159246,0.375,0.465754
311,0.474181,1.9027e-07,0.525819,0.159296,0.375,0.465704
310,0.474639,1.80532e-07,0.525361,0.159346,0.375,0.465654
309,0.475098,1.71235e-07,0.524902,0.159396,0.375,0.465604
308,0.475558,1.62361e-07,0.524442,0.159446,0.375,0.465554
307,0.476018,1.53894e-07,0.523982,0.159496,0.375,0.465504
306,0.476479,1.45818e-07,0.523521,0.159546,0.375,0.465454
305,0.476941,1.38117e-07,0.523059,0.159596,0.375,0.465404
304,0.477403,1.30776e-07,0.522596,0.159646,0.375,0.465354
303,0.477866,1.23781e-07,0.522133,0.159696,0.375,0.465304
302,0.47833,1.17117e-07,0.52167,0.159746,0.375,0.465254
301,0.478795,1.10772e-07,0.521205,0.159796,0.375,0.465204
300,0.47926,1.04732e-07,0.52074,0.159846,0.375,0.465154
299,0.479726,9.89848e-08,0.520274,0.159896,0.375,0.465104
298,0.480192,9.35173e-08,0.519808,0.159945,0.375,0.465055
297,0.480659,8.83183e-08,0.519341,0.159995,0.375,0.465005
296,0.481127,8.33763e-08,0.518873,0.160045,0.375,0.464955
295,0.481595,7.86802e-08,0.518404,0.160094,0.375,0.464906
294,0.482065,7.42195e-08,0.517935,0.160144,0.375,0.464856
293,0.482535,6.9984e-08,0.517465,0.160193,0.375,0.464807
292,0.483005,6.59638e-08,0.516995,0.160243,0.375,0.464757
291,0.483476,6.21494e-08,0.516524,0.160292,0.375,0.464708
290,0.483948,5.85317e-08,0.516052,0.160342,0.375,0.464658
289,0.484421,5.51017e-08,0.515579,0.160391,0.375,0.464609
288,0.484894,5.18512e-08,0.515106,0.160441,0.375,0.464559
287,0.485368,4.87718e-08,0.514632,0.16049,0.375,0.46451
286,0.485843,4.58558e-08,0.514157,0.160539,0.375,0.464461
