Temp,Mo@liq,Si@liq,Ti@liq,Mo@bcc,Si@bcc,Ti@bcc
228,0.514602,5.11695e-10,0.485398,5.88061e-06,0.168355,0.831639
227,0.515119,4.64136e-10,0.484881,5.58706e-06,0.168384,0.83161
226,0.515638,4.20635e-10,0.484362,5.30572e-06,0.168414,0.831581
225,0.516157,3.80879e-10,0.483843,5.0362e-06,0.168444,0.831551
224,0.516677,3.44577e-10,0.483323,4.7781e-06,0.168473,0.831522
223,0.517198,3.11456e-10,0.482802,4.53107e-06,0.168503,0.831492
222,0.517719,2.81263e-10,0.482281,4.29471e-06,0.168533,0.831463
221,0.518242,2.53764e-10,0.481758,4.06868e-06,0.168562,0.831433
220,0.518765,2.2874e-10,0.481235,3.85262e-06,0.168592,0.831404
219,0.519289,2.0599e-10,0.480711,3.6462e-06,0.168622,0.831375
218,0.519813,1.85324e-10,0.480187,3.44906e-06,0.168651,0.831345
217,0.520339,1.6657e-10,0.479661,3.26088e-06,0.168681,0.831316
216,0.520865,1.49567e-10,0.479135,3.08134e-06,0.168711,0.831286
215,0.521392,1.34166e-10,0.478608,2.91014e-06,0.16874,0.831257
214,0.52192,1.20228e-10,0.47808,2.74695e-06,0.16877,0.831227
213,0.522448,1.07628e-10,0.477552,2.59149e-06,0.1688,0.831198
212,0.522978,9.62487e-11,0.477022,2.44346e-06,0.16883,0.831168
211,0.523508,8.59815e-11,0.476492,2.30259e-06,0.168859,0.831139
210,0.524039,7.67274e-11,0.475961,2.16859e-06,0.168889,0.831109
209,0.524571,6.8395e-11,0.475429,2.04121e-06,0.168919,0.831079
208,0.525103,6.09004e-11,0.474897,1.92017e-06,0.168948,0.83105
207,0.525636,5.41665e-11,0.474364,1.80522e-06,0.168978,0.83102
206,0.52617,4.81226e-11,0.47383,1.69613e-06,0.169008,0.830991
205,0.526705,4.27039e-11,0.473295,1.59265e-06,0.169037,0.830961
204,0.527241,3.78512e-11,0.472759,1.49454e-06,0.169067,0.830931
203,0.527777,3.35102e-11,0.472223,1.40159e-06,0.169097,0.830902
202,0.528315,2.96315e-11,0.471685,1.31357e-06,0.169126,0.830872
201,0.528853,2.61698e-11,0.471147,1.23027e-06,0.169156,0.830843
200,0.529392,2.30839e-11,0.470608,1.15149e-06,0.169186,0.830813
199,0.529931,2.03363e-11,0.470069,1.07703e-06,0.169216,0.830783
198,0.530472,1.78929e-11,0.469528,1.0067e-06,0.169245,0.830754
197,0.531013,1.57227e-11,0.468987,9.403e-07,0.169275,0.830724
196,0.531555,1.37976e-11,0.468445,8.77664e-07,0.169305,0.830694
195,0.532098,1.2092e-11,0.467902,8.18614e-07,0.169335,0.830665
194,0.532642,1.05829e-11,0.467358,7.62982e-07,0.169364,0.830635
193,0.533186,9.24942e-12,0.466814,7.10605e-07,0.169394,0.830605
192,0.533731,8.07266e-12,0.466269,6.61327e-07,0.169424,0.830576
191,0.534277,7.03561e-12,0.465723,6.14998e-07,0.169454,0.830546
190,0.534824,6.12295e-12,0.465176,5.71471e-07,0.169483,0.830516
189,0.535372,5.32087e-12,0.464628,5.30608e-07,0.169513,0.830486
188,0.535921,4.61699e-12,0.464079,4.92273e-07,0.169543,0.830457
187,0.53647,4.00016e-12,0.46353,4.56337e-07,0.169573,0.830427
186,0.53702,3.46042e-12,0.46298,4.22676e-07,0.169602,0.830397
185,0.537571,2.98883e-12,0.462429,3.91169e-07,0.169632,0.830368
184,0.538123,2.57742e-12,0.461877,3.61703e-07,0.169662,0.830338
183,0.538675,2.21905e-12,0.461325,3.34167e-07,0.169692,0.830308
182,0.539228,1.90739e-12,0.460772,3.08455e-07,0.169721,0.830278
181,0.539783,1.63676e-12,0.460217,2.84467e-07,0.169751,0.830249
180,0.540338,1.40215e-12,0.459662,2.62106e-07,0.169781,0.830219
179,0.540893,1.19911e-12,0.459107,2.41279e-07,0.169811,0.830189
178,0.54145,1.02367e-12,0.45855,2.21899e-07,0.16984,0.830159
177,0.542007,8.7234e-13,0.457993,2.0388e-07,0.16987,0.83013
176,0.542566,7.42037e-13,0.457434,1.87141e-07,0.1699,0.8301
175,0.543125,6.30036e-13,0.456875,1.71608e-07,0.16993,0.83007
174,0.543685,5.33937e-13,0.456315,1.57205e-07,0.16996,0.83004
173,0.544245,4.51634e-13,0.455755,1.43863e-07,0.169989,0.830011
172,0.544807,3.81277e-13,0.455193,1.31517e-07,0.170019,0.829981
171,0.545369,3.21245e-13,0.454631,1.20103e-07,0.170049,0.829951
170,0.545932,2.70122e-13,0.454068,1.09561e-07,0.170079,0.829921
169,0.546496,2.2667e-13,0.453504,9.98343e-08,0.170108,0.829891
168,0.547061,1.89813e-13,0.452939,9.08697e-08,0.170138,0.829862
167,0.547626,1.58612e-13,0.452374,8.2616e-08,0.170168,0.829832
166,0.548192,1.32254e-13,0.451808,7.5025e-08,0.170198,0.829802
165,0.54876,1.10034e-13,0.45124,6.80512e-08,0.170228,0.829772
164,0.549328,9.1343e-14,0.450672,6.16514e-08,0.170257,0.829743
163,0.549896,7.56543e-14,0.450104,5.57852e-08,0.170287,0.829713
162,0.550466,6.25151e-14,0.449534,5.04143e-08,0.170317,0.829683
161,0.551036,5.15358e-14,0.448964,4.55027e-08,0.170347,0.829653
160,0.551607,4.23826e-14,0.448393,4.10166e-08,0.170376,0.829624
159,0.552179,3.47697e-14,0.447821,3.6924e-08,0.170406,0.829594
