Temp,"HSN(Si,Ti)@liq","HSN(Ti,Ti)@liquid","HSN(Si,Si)@liquid"
695,-39777,40764.1,3.34415e+06
694,-39753.1,40723.7,3.37851e+06
693,-39729.2,40683.2,3.41328e+06
692,-39705.4,40642.8,3.44848e+06
691,-39681.5,40602.4,3.48411e+06
690,-39657.6,40562,3.52018e+06
689,-39633.8,40521.7,3.55669e+06
688,-39609.9,40481.4,3.59366e+06
687,-39586.1,40441.1,3.63108e+06
686,-39562.3,40400.8,3.66897e+06
685,-39538.5,40360.5,3.70733e+06
684,-39514.7,40320.3,3.74618e+06
683,-39490.9,40280.1,3.78551e+06
682,-39467.1,40239.9,3.82533e+06
681,-39443.4,40199.7,3.86566e+06
680,-39419.6,40159.5,3.90651e+06
679,-39395.8,40119.4,3.94787e+06
678,-39372.1,40079.3,3.98976e+06
677,-39348.3,40039.2,4.03218e+06
676,-39324.6,39999.2,4.07515e+06
675,-39300.9,39959.1,4.11868e+06
674,-39277.2,39919.1,4.16276e+06
673,-39253.4,39879.1,4.20742e+06
672,-39229.7,39839.1,4.25266e+06
671,-39206,39799.2,4.29849e+06
670,-39182.3,39759.3,4.34492e+06
669,-39158.6,39719.4,4.39196e+06
668,-39134.9,39679.5,4.43962e+06
667,-39111.2,39639.6,4.48791e+06
666,-39087.5,39599.8,4.53683e+06
665,-39063.8,39560,4.58641e+06
664,-39040.1,39520.2,4.63666e+06
663,-39016.4,39480.4,4.68757e+06
662,-38992.7,39440.6,4.73917e+06
661,-38969,39400.9,4.79146e+06
660,-38945.3,39361.2,4.84446e+06
659,-38921.6,39321.5,4.89818e+06
658,-38897.9,39281.9,4.95264e+06
657,-38874.2,39242.3,5.00783e+06
656,-38850.5,39202.6,5.06379e+06
655,-38826.8,39163.1,5.12051e+06
654,-38803.1,39123.5,5.17801e+06
653,-38779.4,39084,5.23632e+06
652,-38755.7,39044.4,5.29543e+06
651,-38732,39004.9,5.35536e+06
650,-38708.2,38965.5,5.41614e+06
649,-38684.5,38926,5.47777e+06
648,-38660.8,38886.6,5.54027e+06
647,-38637.1,38847.2,5.60365e+06
646,-38613.3,38807.8,5.66793e+06
645,-38589.6,38768.5,5.73313e+06
644,-38565.9,38729.1,5.79925e+06
643,-38542.1,38689.8,5.86633e+06
642,-38518.4,38650.5,5.93438e+06
641,-38494.6,38611.3,6.0034e+06
640,-38470.8,38572,6.07343e+06
639,-38447,38532.8,6.14448e+06
638,-38423.3,38493.6,6.21657e+06
637,-38399.5,38454.5,6.28971e+06
636,-38375.7,38415.3,6.36393e+06
635,-38351.9,38376.2,6.43925e+06
634,-38328.1,38337.1,6.51568e+06
633,-38304.2,38298,6.59326e+06
632,-38280.4,38259,6.67199e+06
631,-38256.6,38220,6.75191e+06
630,-38232.7,38181,6.83302e+06
629,-38208.8,38142,6.91537e+06
628,-38185,38103,6.99897e+06
627,-38161.1,38064.1,7.08384e+06
626,-38137.2,38025.2,7.17001e+06
625,-38113.3,37986.3,7.25751e+06
624,-38089.4,37947.5,7.34636e+06
623,-38065.4,37908.6,7.43659e+06
622,-38041.5,37869.8,7.52822e+06
621,-38017.6,37831,7.62128e+06
620,-37993.6,37792.3,7.71581e+06
619,-37969.6,37753.5,7.81182e+06
618,-37945.6,37714.8,7.90936e+06
617,-37921.6,37676.1,8.00844e+06
616,-37897.6,37637.5,8.10911e+06
615,-37873.6,37598.8,8.2114e+06
614,-37849.5,37560.2,8.31534e+06
613,-37825.5,37521.7,8.42096e+06
612,-37801.4,37483.1,8.5283e+06
611,-37777.3,37444.5,8.63739e+06
610,-37753.2,37406,8.74827e+06
609,-37729.1,37367.5,8.86099e+06
608,-37705,37329.1,8.97557e+06
607,-37680.8,37290.6,9.09207e+06
606,-37656.7,37252.2,9.21051e+06
605,-37632.5,37213.8,9.33095e+06
604,-37608.3,37175.5,9.45343e+06
603,-37584.1,37137.1,9.57799e+06
602,-37559.9,37098.8,9.70467e+06
601,-37535.6,37060.5,9.83354e+06
600,-37511.4,37022.3,9.96463e+06
599,-37487.1,36984,1.0098e+07
598,-37462.8,36945.8,1.02337e+07
597,-37438.5,36907.6,1.03718e+07
596,-37414.1,36869.5,1.05123e+07
595,-37389.8,36831.3,1.06553e+07
594,-37365.4,36793.2,1.08009e+07
593,-37341,36755.2,1.09491e+07
592,-37316.6,36717.1,1.10999e+07
591,-37292.2,36679.1,1.12536e+07
590,-37267.7,36641.1,1.141e+07
589,-37243.3,36603.1,1.15693e+07
588,-37218.8,36565.1,1.17316e+07
